Id;Designator;Behuizing;Hoeveelheid;Orientatie;Leverancier en ref
1;R7,R6,R2,R1;ERA6A__0805_;4;ERA-6ARW472V;
2;IC2;SOP65P640X110-14N;1;NTS0304EPWJ;
3;C3;CAPC0603X33N;1;GRM033R60J105MEA2D;
4;C2,C1;CAPC0603X33N;2;GRM033R60J104KE19J;
5;J1;5047405100;1;504740-5100;
6;IC1;QFN50P800X800X100-57N-D;1;PCA9698BS,118;
7;R5;ERA2A__0402_;1;ERA-2AED202X;
8;R4,R3;ERA2A__0402_;2;ERA-2ARC112X;
